"user_id","name","screen_name","location","description","url","protected","followers_count","friends_count","listed_count","created_at","favourites_count","utc_offset","time_zone","geo_enabled","verified","statuses_count","lang","contributors_enabled","is_translator","is_translation_enabled","profile_background_color","profile_background_image_url","profile_background_image_url_https","profile_background_tile","profile_image_url","profile_image_url_https","profile_banner_url","profile_link_color","profile_sidebar_border_color","profile_sidebar_fill_color","profile_text_color","profile_use_background_image","has_extended_profile","default_profile","default_profile_image","following","follow_request_sent","notifications","translator_type"
"x382267114","Android","Android","Mountain View, CA","#Android is made for everyone. Follow along for the latest updates and stories behind our tech. Questions? Get assistance by using #AndroidHelp.","https://t.co/xdgsxbQFvc",FALSE,10558199,68,24504,2011-09-29 19:34:47,371,,,FALSE,TRUE,6204,,FALSE,FALSE,FALSE,"A5C639","http://abs.twimg.com/images/themes/theme13/bg.gif","https://abs.twimg.com/images/themes/theme13/bg.gif",FALSE,"http://pbs.twimg.com/profile_images/1164525925242986497/N5_DCXYQ_normal.jpg","https://pbs.twimg.com/profile_images/1164525925242986497/N5_DCXYQ_normal.jpg","https://pbs.twimg.com/profile_banners/382267114/1572903210","A5C639","EEEEEE","FFFFFF","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x327602105","GooglePlus","GooglePlus","Mountain View, CA","Stay up-to-date with the latest product launches and tips by following @gsuite.","https://t.co/w9DdEqNI8V",TRUE,70076,114,1259,2011-07-01 20:51:44,522,,,FALSE,TRUE,2275,,FALSE,FALSE,FALSE,"DD4B39","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1166421194335301633/f8J7CqNs_normal.jpg","https://pbs.twimg.com/profile_images/1166421194335301633/f8J7CqNs_normal.jpg","https://pbs.twimg.com/profile_banners/327602105/1566931473","ABB8C2","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x312189104","Google Civics","GoogleCivics","Washington, DC","Updates on our efforts to support the democratic process and civic engagement through Google tools.","https://t.co/OBYFelQkwy",FALSE,60172,820,1521,2011-06-06 18:34:34,241,,,FALSE,TRUE,1195,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1282779705104531456/g4ja4cw__normal.jpg","https://pbs.twimg.com/profile_images/1282779705104531456/g4ja4cw__normal.jpg","https://pbs.twimg.com/profile_banners/312189104/1594673490","1B95E0","FFFFFF","EBEFF9","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x309827046","Google Pay","GooglePay","","Say hello <U+0001F44B>  to a better relationship with money <U+0001F4B0>","https://t.co/I9rRUQd6kW",FALSE,97505,126,1314,2011-06-02 18:50:39,216,,,TRUE,TRUE,11661,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1329113828731146242/FzxBBPrs_normal.jpg","https://pbs.twimg.com/profile_images/1329113828731146242/FzxBBPrs_normal.jpg","https://pbs.twimg.com/profile_banners/309827046/1605720406","4285F4","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x300378623","Google Fiber","googlefiber","","Your internet. For tweeting. And so much more.

Need help? Tweet us @googlefiberhelp. And learn more at https://t.co/sPH7SOBBDA.","http://t.co/FvlSmHTtOP",FALSE,90813,608,1179,2011-05-17 17:26:20,3636,,,TRUE,TRUE,19331,,FALSE,FALSE,FALSE,"0091EA","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/923193758589452288/HatSfUM1_normal.jpg","https://pbs.twimg.com/profile_images/923193758589452288/HatSfUM1_normal.jpg","https://pbs.twimg.com/profile_banners/300378623/1587657593","0091EA","FFFFFF","DDEEF6","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x297051931","Accelerate w/ Google","AccelwithGoogle","","Official Twitter handle for Google's #BusinessInclusion initiatives. https://t.co/6qCnjG29SQ","http://t.co/mopU5ouKna",FALSE,7805,356,164,2011-05-11 21:06:32,1005,,,TRUE,FALSE,1213,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/641269006196846592/K6hHsfhP_normal.png","https://pbs.twimg.com/profile_images/641269006196846592/K6hHsfhP_normal.png","https://pbs.twimg.com/profile_banners/297051931/1536156798","8CB2BD","8CB2BD","424C55","8C94A2",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x296459271","Google Doodles","GoogleDoodles","Mountain View, CA","We have no idea what to do with 280 characters — we're used to only 6! <U+2192> https://t.co/NOjpscQQvx","http://t.co/TvUKz9vr",FALSE,159086,40,1909,2011-05-10 20:02:46,1227,,,TRUE,TRUE,2023,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1322802995067695104/GVEIupBm_normal.png","https://pbs.twimg.com/profile_images/1322802995067695104/GVEIupBm_normal.png","https://pbs.twimg.com/profile_banners/296459271/1604216098","0084B4","C1C6EB","FFFFFF","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x289431709","Google Photos","googlephotos","","The home for your memories.","http://t.co/4VLlwWrgDi",FALSE,217309,59,2016,2011-04-28 16:52:03,1019,,,FALSE,TRUE,20858,,FALSE,FALSE,FALSE,"4285F4","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1276168382023229440/H99BdKOh_normal.jpg","https://pbs.twimg.com/profile_images/1276168382023229440/H99BdKOh_normal.jpg","https://pbs.twimg.com/profile_banners/289431709/1593097228","4285F4","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x257660675","Google for Nonprofits","googlenonprofit","","Spread the word about your nonprofit’s mission, engage new supporters, fundraise in more ways—do all this & more when you sign up for Google for Nonprofits.","http://t.co/sDSVxKECj1",FALSE,22598,299,857,2011-02-25 22:30:02,48,,,TRUE,TRUE,1180,,FALSE,FALSE,FALSE,"C0DEED","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1067559858566848512/And3f2C2_normal.jpg","https://pbs.twimg.com/profile_images/1067559858566848512/And3f2C2_normal.jpg","https://pbs.twimg.com/profile_banners/257660675/1592517180","FAB81E","C0DEED","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x254218142","Google for Education","GoogleForEdu","USA","Helping prepare students to create the future. The best of Google, for education. Follow for product announcements, updates & news #GoogleEdu",,FALSE,637818,829,5920,2011-02-18 21:20:12,3138,,,TRUE,TRUE,16196,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/961295529018761216/6w6owI4-_normal.jpg","https://pbs.twimg.com/profile_images/961295529018761216/6w6owI4-_normal.jpg","https://pbs.twimg.com/profile_banners/254218142/1588599626","4286F4","BBCCFF","EBEFF9","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x254107028","TensorFlow","TensorFlow","Mountain View, CA","TensorFlow is a fast, flexible, and scalable open-source machine learning library for research and production.","https://t.co/gxgTGHp5yO",FALSE,265605,99,2960,2011-02-18 16:21:31,210,,,TRUE,TRUE,1378,,FALSE,FALSE,FALSE,"000000","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1103339571977248768/FtFnqC38_normal.png","https://pbs.twimg.com/profile_images/1103339571977248768/FtFnqC38_normal.png","https://pbs.twimg.com/profile_banners/254107028/1584226541","FAB81E","000000","000000","000000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x248965136","Google Arts&Culture","googlearts","","For the Culturally Curious.
#GoogleArtsandCulture #MuseumFromHome","https://t.co/ncWCWqsAEH",FALSE,157808,1365,2781,2011-02-08 02:31:38,6949,,,TRUE,TRUE,9504,,FALSE,FALSE,FALSE,"343534","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",TRUE,"http://pbs.twimg.com/profile_images/735001230838104064/Oq6VPsg4_normal.jpg","https://pbs.twimg.com/profile_images/735001230838104064/Oq6VPsg4_normal.jpg","https://pbs.twimg.com/profile_banners/248965136/1540295334","DC9038","EEEEEE","000000","F0F0F0",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x243381107","Google Play","GooglePlay","","We’re exploring the world’s greatest stories through movies, TV, games, apps, books and so much more. Up for new adventures and discoveries? Let’s play.","http://t.co/655Gl498Xy",FALSE,7135530,99,12135,2011-01-26 22:44:39,5061,,,TRUE,TRUE,201479,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/808350098178670592/bYyZI8Bp_normal.jpg","https://pbs.twimg.com/profile_images/808350098178670592/bYyZI8Bp_normal.jpg","https://pbs.twimg.com/profile_banners/243381107/1573064756","0084B4","FFFFFF","DDEEF6","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x234923843","Google Fonts","googlefonts","","Making the web more beautiful, fast, and open through great typography.","https://t.co/kiMcDg6qEF",FALSE,65841,1456,1825,2011-01-06 22:34:23,714,,,TRUE,TRUE,2081,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1234963140011593730/QRlxU5Yp_normal.jpg","https://pbs.twimg.com/profile_images/1234963140011593730/QRlxU5Yp_normal.jpg","https://pbs.twimg.com/profile_banners/234923843/1583262010","FF5252","BBCCFF","EBEFF9","333333",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x209645265","Google Accessibility","googleaccess","California, USA","The official Twitter account for Google's Accessibility team.","http://t.co/kx9iCAbyNR",FALSE,36284,448,1094,2010-10-29 16:13:12,1771,,,TRUE,TRUE,2244,,FALSE,FALSE,FALSE,"FFFFFF","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/1001610268558831618/YU-ySicg_normal.jpg","https://pbs.twimg.com/profile_images/1001610268558831618/YU-ySicg_normal.jpg",,"2243BB","BBCCFF","EBEFF9","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
"x207773069","Nexus","googlenexus","Mountain View, CA","For all things Google Hardware, follow @madebygoogle","http://t.co/rDbC0QWtg8",TRUE,1087705,53,9651,2010-10-26 00:39:56,325,,,FALSE,TRUE,47579,,FALSE,FALSE,FALSE,"FAFAFA","http://abs.twimg.com/images/themes/theme1/bg.png","https://abs.twimg.com/images/themes/theme1/bg.png",FALSE,"http://pbs.twimg.com/profile_images/648894436861067265/lI_IbD1v_normal.jpg","https://pbs.twimg.com/profile_images/648894436861067265/lI_IbD1v_normal.jpg","https://pbs.twimg.com/profile_banners/207773069/1562948018","ABB8C2","FFFFFF","DDEEF6","333333",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"none"
